customer_id,age,gender,income,purchase_amount,product_category,customer_satisfaction_score,region,purchase_date
1,47,Female,104719.20318766977,81.81323329323429,Clothing,1.400491594881446,South,2024-01-18
2,37,Female,61375.39390678897,256.75516585846424,Books,5.0,North,2022-06-23
3,49,Male,37402.2752485457,71.45247441917674,Electronics,5.0,West,2023-04-23
4,62,Male,56958.32156241767,34.61422681696603,Electronics,4.111564322704594,East,2023-07-02
5,36,Male,85612.77198955417,43.91913793852781,Home,2.7003396675096765,West,2024-05-22
6,36,Female,86591.25192642478,73.84150717504392,Clothing,5.0,South,2023-07-15
7,63,Female,38493.252639138416,75.50001117752404,Clothing,4.519526644086518,East,2024-05-30
8,51,Male,55063.67391398598,116.26315895804706,Home,3.6331566799139328,South,2022-11-22
9,32,Female,21414.662406577096,25.424068412000384,Clothing,5.0,North,2022-01-09
10,48,Male,66493.37249382859,107.54122038766003,Clothing,3.004436459484997,East,2024-10-01
11,33,Male,81067.09398111788,150.77300974857835,Clothing,1.9231993076249858,North,2023-12-06
12,33,Female,50795.989082320324,112.88405624086973,Home,3.346782494688398,East,2022-10-13
13,43,Female,36652.31891279743,65.7448257438513,Home,4.719926577487618,South,2023-02-20
14,18,Female,57202.619025551256,478.91712864462903,Books,5.0,South,2023-12-25
15,18,Female,58349.18062726332,51.88799044597005,Clothing,3.2871725627107176,West,2024-08-13
16,31,Male,51622.876636992405,11.271036483591987,Books,2.835297894362429,West,2024-08-08
17,24,Female,,172.31902937687107,Sports,4.032797127597475,East,2024-12-20
18,44,Female,46523.70299061258,23.851257564177878,Sports,3.9885957154960066,East,2022-10-21
19,26,Female,69919.09856452812,124.92685861256857,Clothing,5.0,East,2022-12-06
20,18,Female,64724.54890330254,19.72032816584484,Electronics,4.254135693049918,West,2024-05-28
21,61,Male,30337.937057117015,1.702143706873939,Sports,5.0,South,2024-03-29
22,36,Male,29788.187936828104,17.411365848797146,Electronics,5.0,North,2022-07-05
23,41,Female,44912.51165946876,47.319061682126936,Books,4.923573284226814,North,2024-05-31
24,18,Female,64736.74248210358,11.274129464005771,Clothing,2.5358942920071126,East,2024-02-15
25,31,Male,52961.14827781629,22.024660680748465,Books,3.6056352221002603,North,2024-03-12
26,41,Male,37136.99179754689,144.65807203122483,Books,4.256177190856421,North,2023-10-24
27,22,Female,,146.91700457868671,Home,1.381430689475946,North,2022-07-09
28,45,Male,43383.78960955456,170.0940599497584,Clothing,3.3336119156235697,West,2022-12-19
29,30,Male,67609.72920448263,183.98278841709666,Home,3.6778424495791486,West,2022-02-08
30,35,Male,,54.54790004287733,Books,3.2156452915719482,North,2024-06-04
31,30,Male,43694.43625095712,202.1547501497075,Electronics,5.0,South,2022-01-22
32,67,Female,54630.37544092923,74.64147910782152,Clothing,4.496052372382804,South,2023-12-14
33,39,Male,76300.96119048403,63.60055432954047,Clothing,3.7935571931295025,West,2022-01-31
34,24,Male,38607.39846907245,126.77518947778721,Sports,2.1611609960878932,South,2024-04-15
35,52,Female,58053.13963294322,24.056748443178574,Electronics,3.470036790892225,East,2023-12-27
36,21,Female,48590.79319068008,155.82571643101352,Electronics,5.0,East,2022-02-23
37,43,Female,58539.673677242,56.11822106259685,Books,3.391276254235258,South,2023-01-06
38,18,Male,36908.70116808539,13.615816987510353,Books,3.6018770521992334,North,2022-04-07
39,20,Female,52206.70866318751,12.70517605893077,Books,2.6991390614079123,South,2024-06-03
40,42,Male,72156.46564833602,18.021187635154895,Sports,4.166487947898275,North,2023-06-14
41,51,Female,31259.860375077853,221.2495190099735,Electronics,4.319891759226704,North,2024-11-25
42,42,Male,23411.897933498363,470.3645819052634,Home,4.184923523393333,South,2022-11-14
43,38,Female,24170.888710260715,44.15698078317349,Electronics,2.822250429832379,East,2024-12-10
44,35,Female,26586.74939599622,34.55143870134183,Home,4.5107296593057535,North,2022-10-14
45,18,Male,61906.465757853286,24.688692321260888,Clothing,3.5888543715810908,North,2023-10-12
46,29,Female,21882.80628269069,173.6229083855293,Home,4.237712984117096,West,2022-08-31
47,33,Female,44042.09310512939,23.471964956513276,Clothing,4.790555483733232,South,2023-02-17
48,55,Female,62365.78606621416,257.82085625906745,Books,4.420481861869214,West,2022-08-10
49,45,Female,58333.181210971874,110.06655320441988,Electronics,4.653805027537887,North,2024-11-20
50,18,Female,,227.42677568701856,Books,4.690338117834424,North,2024-05-21
51,44,Male,53818.47463510212,80.7458422260312,Electronics,4.8735702844519,West,2024-12-27
52,34,Male,52142.906594751366,117.33784936914753,Home,4.97523355106398,South,2024-09-20
53,29,Female,45515.18088903627,96.61589912058724,Electronics,5.0,West,2024-02-24
54,49,Female,45783.3056269084,177.90137796694984,Home,4.434692264199882,West,2022-04-06
55,55,Male,94708.54869513921,180.7040498829344,Electronics,4.841539206086443,North,2022-08-13
56,53,Male,66186.21807862601,89.10933682654903,Clothing,4.171252350162497,East,2024-01-05
